ID,Chinese Title,Core Quote (English),Related IDs,Source
Z1,循环神经网络,The core reason that recurrent nets are more exciting is that they allow us to operate over sequences of vectors.,"Z2, Z4, Z5, Z6",[1]
Z2,图灵完备性,RNNs are Turing-Complete in the sense that they can to simulate arbitrary programs (with proper weights).,"Z1, Z14",[1]
Z3,固定大小向量限制,A glaring limitation of Vanilla Neural Networks... is that their API is too constrained: they accept a fixed-sized vector as input.,"Z1, Z6",[1]
Z4,隐藏状态,The RNN class has some internal state... In the simplest case this state consists of a single hidden vector h .,"Z1, Z5",[1]
Z5,长短期记忆网络,"The LSTM is a particular type of recurrent network that works slightly better in practice, owing to its more powerful update equation.","Z1, Z4, Z6",[1]
Z6,字符级语言模型,We’ll train RNN character-level language models... to model the probability distribution of the next character in the sequence.,"Z1, Z7, Z8",[1]
Z7,One-of-k 编码,"we will encode each character into a vector using 1-of-k encoding, and feed them into the RNN one at a time.",Z6,[1]
Z8,长期依赖,Topic and themes that span multiple words (and in general longer-term dependencies) start to emerge only much later.,"Z6, Z10",[1]
Z9,神经元激活可视化,Different neurons might be looking for different patterns; We found some that identify whether we are inside or outside of a quote.,"Z1, Z10",[1]
Z10,文本生成演化,"At iteration 100 it is random, by 2000 we start to get properly spelled words and names.","Z6, Z8",[1]
Z11,非归纳推理限制,One problem is that RNNs are not inductive.,Z14,[1]
Z12,注意力机制,The concept of attention is the most interesting recent architectural innovation in neural networks.,"Z1, Z14",[1]
Z13,词级模型对比,Currently it seems that word-level models work better than character-level models.,Z6,[1]
Z14,神经图灵机,The first convincing example of moving towards addressing these was Google’s Neural Turing Machines.,"Z2, Z11, Z12",[1]
Z15,多层堆叠 (深度 RNN),RNNs are neural networks and everything works monotonically better if you start stacking models up like pancakes.,"Z1, Z5",[1]
